a,eɪ
nervous,nɜː(r)vəs
NETWORK,ˈnetˌwɜː(r)k
NETWORKING,ˈnetˌwɜː(r)kɪŋ
never,nevə
nevertheless,nevə(r)ðəles
NEW,njuː
news,njuːz
NEWSLETTER,ˈnjuːzˌletə(r)
NEWSPAPER,ˈnjuːzˌpeɪpə(r)
next,nekst
nice,naɪs
night,naɪt
Nina,ni:nə
no,noʊ
nobody,noʊbɒdi
nodded,nɒdɪd
noise,nɔɪz
noises,nɔɪzɪz
NOMINATE,ˈnɒmɪneɪt
NOMINEE,ˌnɒmɪˈniː
none,nʌn
NONPROFIT,Non'prɒfɪt
NOODLE,ˈnuːd(ə)l
noon,nuːn
nor,nɔː(r)
NORDIC,ˈnɔː(r)dɪk
NORM,nɔː(r)m
NORMALIZE,ˈnɔː(r)məlaɪz
nose,nəʊz
nostril,nɒstrɪl
not,nɒt
NOTCH,nɒtʃ
NOTE,nəʊt
NOTED,ˈnəʊtɪd
nothing,nʌθɪŋ
NOTICE,ˈnəʊtɪs
NOTION,ˈnəʊʃ(ə)n
now,naʊ
NUDGE,nʌdʒ
nudged,@nudged
NUMBER,ˈnʌmbə(r)
NURSING,ˈnɜː(r)sɪŋ
NURTURE,ˈnɜː(r)tʃə(r)
nutter,nʌtə(r)
Nutters,@Nutters
obey,oʊbeɪ
OBJECTIVE,əbˈdʒektɪv
OBLIGATED,ˈɒblɪˌɡeɪtɪd
OBLIGATION,ˌɒblɪˈɡeɪʃ(ə)n
OBLIGE,əˈblaɪdʒ
OBSERVE,əbˈzɜː(r)v
OBSESSED,əbˈsest
OBTAIN,əbˈteɪn
obviously,ɒbviəsli
OCCASION,əˈkeɪʒ(ə)n
occasionally,əˈkeɪʒənəlɪ
occasions,əˈkeɪʒənz
OCCUPY,ˈɒkjʊpaɪ
OCCUR,əˈkɜː(r)
odd,ɒd
ODDS,ɒdz
of,ɒv
OFF,ɒf
offal,ɒfəl
OFFENCE,əˈfens
OFFENDER,əˈfendə(r)
OFFENDING,əˈfendɪŋ
OFFER,ˈɒfə(r)
offered,ɒfəd
OFFERING,ˈɒf(ə)rɪŋ
OFFICE,ˈɒfɪs
OFFICER,ˈɒfɪsə(r)
OFFICIAL,əˈfɪʃ(ə)l
OFFING,ˈɒfɪŋ
OFFLOAD,ˌɒfˈləʊd
OFFSET,ˈɒfˌset
Oh,əʊ
ok,oʊkeɪ
okay,oʊkeɪ
OLD,əʊld
olde worlde,oʊldi
older,ˈəʊldə
OLIGARCH,ˈɒlɪɡɑː(r)k
Oliver,ɒlɪvə
on,ɒn
once,wʌns
oncoming,ɒnkʌmɪŋ
ONE,wʌn
ONION,ˈʌnjən
only,əʊnlɪ
onto,ɒntə
ooze,uːz
OPEN,ˈəʊpən
opened,əʊpənd
OPENER,ˈəʊp(ə)nə(r)
OPENING,ˈəʊp(ə)nɪŋ
OPERATE,ˈɒpəreɪt
OPERATION,ˌɒpəˈreɪʃ(ə)n
OPERATOR,ˈɒpəˌreɪtə(r)
OPINION,əˈpɪnjən
OPPONENT,əˈpəʊnənt
OPPORTUNITY,ˌɒpə(r)ˈtjuːnəti
OPPOSE,əˈpəʊz
OPPOSED,əˈpəʊzd
OPPOSING,əˈpəʊzɪŋ
OPT,ɒpt
OPTIMIST,ˈɒptɪmɪst
OPTION,ˈɒpʃ(ə)n
or,ɔ:
orc,ɔːk
ORCHESTRATE,ˈɔː(r)kɪˌstreɪt
ordeal,ɔː(r)diːl
ORDER,ˈɔː(r)də(r)
ORDERED,ˈɔː(r)də(r)d
orders,ɔ:dəz
ORGANIZATION,ˌɔː(r)ɡənaɪˈzeɪʃ(ə)n
ORGANIZE,ˈɔː(r)ɡənaɪz
ORGANIZED,ˈɔː(r)ɡənaɪzd
ORIGIN,ˈɒrɪdʒɪn
original,ərɪdʒɪnəl
os,oʊ
OSCILLATE,ˈɒsɪleɪt
OTHER,ˈʌðə(r)
ounce,aʊns
our,aʊə
OUST,aʊst
OUT,aʊt
OUTAGE,ˈaʊtɪdʒ
OUTCOME,ˈaʊtˌkʌm
OUTFIT,ˈaʊtfɪt
OUTFLOW,ˈaʊtˌfləʊ
OUTGROWN,ˌaʊtˈɡrəʊn
OUTLAW,ˈaʊtˌlɔː
OUTLAY,ˈaʊtˌleɪ
OUTLET,ˈaʊtˌlet
OUTLINE,ˈaʊtlaɪn
OUTLOOK,ˈaʊtˌlʊk
OUTPACE,ˌaʊtˈpeɪs
OUTPERFORM,ˌaʊtpə(r)ˈfɔː(r)m
OUTPUT,ˈaʊtˌpʊt
outrage,aʊtreɪdʒ
outside,ˌaʊt'saɪd
OUTSIDER,aʊtˈsaɪdə(r)
OUTWEIGH,ˌaʊtˈweɪ
over,əʊvə
OVERBUILD,@OVERBUILD
OVERBURDEN,ˌəʊvə(r)ˈbɜː(r)d(ə)n
overcame,oʊvə(r)keɪm
OVERCHARGE,ˌəʊvə(r)ˈtʃɑː(r)dʒ
OVERCOME,ˌəʊvə(r)ˈkʌm
OVERDONE,ˌəʊvə(r)ˈdʌn
OVERHAUL,ˌəʊvə(r)ˈhɔːl
OVERHEADS,ˈəʊvə(r)ˌhedz
OVERHEATED,ˌəʊvə(r)ˈhiːtɪd
OVERLAP,ˌəʊvə(r)ˈlæp
overlook,oʊvə(r)lʊk
OVERPLAY,ˌəʊvə(r)ˈpleɪ
OVERPOWERING,ˌəʊvə(r)ˈpaʊərɪŋ
OVERRUN,ˌəʊvəˈrʌn
OVERSAW,ˌəʊvə(r)ˈsɔː
OVERSEAS,ˈəʊvə(r)siːz
OVERSEE,ˌəʊvə(r)ˈsiː
OVERSEEN,ˌəʊvə(r)ˈsiːn
OVERSHADOW,ˌəʊvə(r)ˈʃædəʊ
OVERSTEP,ˌəʊvə(r)ˈstep
OVERTAKE,ˌəʊvə(r)ˈteɪk
OVERTAKEN,ˌəʊvə(r)ˈteɪkən
OVERTOOK,ˌəʊvə(r)ˈtʊk
OVERTURN,ˌəʊvə(r)ˈtɜː(r)n
OVERVALUE,ˌəʊvə(r)ˈvæljuː
OVERWEIGHT,ˌəʊvə(r)ˈweɪt
OVERWHELMING,ˌəʊvə(r)ˈwelmɪŋ
OWE,əʊ
OWN,əʊn
OWNER,ˈəʊnə(r)
pack,pæk
PACKAGE,ˈpækɪdʒ
PACKAGED,ˈpækɪdʒd
PACKAGING,ˈpækɪdʒɪŋ
packmen,pæk'men
PACT,pækt
PADDED,ˈpædɪd
PADDING,ˈpædɪŋ
PAGE,peɪdʒ
PAID,peɪd
pain,peɪn
painfully,peɪnfʊli
painless,peɪnləs
pains,peɪnz
PAINT,peɪnt
painted,ˈpeɪntɪd
PAINTING,ˈpeɪntɪŋ
PAIR,peə(r)
pak choi,pæk
pale,peɪl
PAN,pæn
PANEL,ˈpæn(ə)l
PANHANDLE,ˈpænˌhænd(ə)l
PANIC,ˈpænɪk
PAPER,ˈpeɪpə(r)
paralysed,ˈpærəlaɪzdˈpærəˌlaɪzd
PARALYZE,ˈpærəlaɪz
PARAPLEGIC,ˌpærəˈpliːdʒɪk
PARCEL,ˈpɑː(r)s(ə)l
pardon,pɑː(r)dən
PARE,peə(r)
PARENT,ˈpeərənt
parents,peərənts
PARK,pɑː(r)k
PARKING,ˈpɑː(r)kɪŋ
PARLIAMENT,ˈpɑː(r)ləmənt
parody,pærədi
PART,pɑː(r)t
partial,pɑː(r)ʃəl
partially,pɑː(r)ʃəli
PARTICIPANT,pɑː(r)ˈtɪsɪpənt
PARTICIPATE,pɑː(r)ˈtɪsɪpeɪt
PARTICIPATING,pɑ(r)ˈtɪsɪˌpeɪtɪŋ
PARTNER,ˈpɑː(r)tnə(r)
partners,ˈpɑːtnəz
PARTNERSHIP,ˈpɑː(r)tnə(r)ʃɪp
PARTY,ˈpɑː(r)ti
PASS,pɑːs
passage,pæsɪdʒ
PASSE,ˈpɑːseɪ
passed,pɑ:st
PASSENGER,ˈpæsɪndʒə(r)
passerby,pɑsərbaɪ
PASSING,ˈpɑːsɪŋ
PASSWORD,ˈpɑːsˌwɜː(r)d
past,pɑ:st
PATCH,pætʃ
PATENT,ˈpeɪt(ə)nt
pathetic,pəθetɪk
PATIENT,ˈpeɪʃ(ə)nt
PATROL,pəˈtrəʊl
patter,pætə(r)
PATTERN,ˈpætə(r)n
pauper,pɔːpə(r)
PAUSE,pɔːz
paused,pɔ:zd
PAVING,ˈpeɪvɪŋ
PAVIS,@PAVIS
paw,pɔː
paws,@paws
PAY,peɪ
PAYCHECK,peɪ'tʃek
PAYMENT,ˈpeɪmənt
PAYOFF,ˈpeɪˌɒf
PAYOUT,ˈpeɪaʊt
PAYROLL,ˈpeɪˌrəʊl
PC,ˌpiː ˈsiː
peace,piːs
PEAK,piːk
PEAKED,piːkt
PEANUTS,ˈpiːˌnʌts
PEELING,pi:lɪŋ
PEER,pɪə(r)
peered,peered
PEG,peɡ
PEN,pen
PENALIZE,ˈpiːnəlaɪz
PENALTY,ˈpen(ə)lti
penchant,pɒnʃɒn
PENDING,ˈpendɪŋ
PENSION,ˈpenʃ(ə)n
PENSIONER,ˈpenʃ(ə)nə(r)
pensive,pensɪv
PEOPLE,ˈpiːp(ə)l
per diem,pə(r)
PERCEIVE,pə(r)ˈsiːv
PERCEPTION,pə(r)ˈsepʃ(ə)n
perfect,pɜː(r)fɪkt
PERFORM,pə(r)ˈfɔː(r)m
PERFORMANCE,pə(r)ˈfɔː(r)məns
PERFORMER,pə(r)ˈfɔː(r)mə(r)
perfume,pɜː(r)fjuːm
perhaps,pə'hæps
PERIOD,ˈpɪəriəd
PERK,pɜː(r)k
PERMIT,pə(r)ˈmɪt
PERMUTATION,ˌpɜː(r)mjʊˈteɪʃ(ə)n
PERPETRATOR,@PERPETRATOR
PERSIST,pə(r)ˈsɪst
person,pɜ:sən
personage,pɜː(r)sənɪdʒ
personal,pɜː(r)sənəl
PERSUADE,pə(r)ˈsweɪd
PERTAIN,pə(r)ˈteɪn
PERUVIAN,pəˈruːviən
PERVADE,pə(r)ˈveɪd
PESO,ˈpeɪsəʊ
PESSIMIST,ˈpesəmɪst
petticoat,petikoʊt
PHARMACEUTICALS,ˌfɑː(r)məˈsjuːtɪk(ə)lz
PHARMACY,ˈfɑː(r)məsi
PHASE,feɪz
PHILIPPINES,ˈfɪlɪpiːnz
PHONE,fəʊn
PHOTOGRAPH,ˈfəʊtəˌɡrɑːf
phrase,freɪz
physical,fɪzɪkəl
physics,fɪzɪks
PICK,pɪk
picked,pɪkt
PICNIC,ˈpɪknɪk
PICTURE,ˈpɪktʃə(r)
PIECE,piːs
pierced,pɪrst
PILE,paɪl
PILING,@PILING
Pin,pɪn
pinch,pɪntʃ
pinion,pɪnjən
PIONEER,ˌpaɪəˈnɪə(r)
pious,paɪəs
PIP,pɪp
PIPE,paɪp
PIPELINE,ˈpaɪpˌlaɪn
pirate,paɪrət
pistol,pɪstəl
PIT,pɪt
PITCH,pɪtʃ
pitch-black,ˈpɪtʃˈblæk
PITCHED,pɪtʃt
PITFALL,ˈpɪtˌfɔːl
pits,pɪts
PLACE,pleɪs
placed,pleɪst
PLACEMENT,ˈpleɪsmənt
places,pleɪsɪz
PLAGUE,pleɪɡ
PLAN,plæn
PLANE,pleɪn
PLANNING,ˈplænɪŋ
plans,plænz
PLANT,plɑːnt
plants,plɑ:nts
PLASTIC,ˈplæstɪk
PLATFORM,ˈplætˌfɔː(r)m
PLAY,pleɪ
PLAYER,ˈpleɪə(r)
playing,ˈpleɪɪŋ
PLEA,pliː
PLEAD,pliːd
PLEADING,ˈpliːdɪŋ
Please,pli:z
PLEASED,pliːzd
pleasure,pleʒə
PLEDGE,pledʒ
PLOT,plɒt
PLOW,plaʊ
PLUG,plʌɡ
plugged,plʌgd
PLUMB,plʌm
PLUMBING,ˈplʌmɪŋ
PLUMMET,ˈplʌmɪt
PLUNGE,plʌndʒ
PLUNGING,ˈplʌndʒɪŋ
PLUS,plʌs
POACH,pəʊtʃ
POCKET,ˈpɒkɪt
point,pɔɪnt
POINTED,ˈpɔɪntɪd
POINTING,ˈpɔɪntɪŋ
POINTS,pɔɪnts
POISED,pɔɪzd
poke,@poke
poker,@poker
POLARIZE,ˈpəʊləraɪz
POLE,pəʊl
POLICE,pəˈliːs
POLICY,ˈpɒləsi
polished,pɒlɪʃt
political,pəlɪtɪkəl
POLITICIAN,ˌpɒləˈtɪʃ(ə)n
POLL,pəʊl
POLLING,ˈpəʊlɪŋ
POLLUTANT,pəˈluːt(ə)nt
POND,pɒnd
POOL,puːl
POOR,pɔː(r)
POPULIST,ˈpɒpjʊlɪst
pore,pɔː(r)
porringer,ˈpɒrɪndʒə
PORTFOLIO,pɔː(r)tˈfəʊliəʊ
portia,ˈpɔrʃə
portland,ˈpɔːtlənd
PORTRAY,pɔː(r)ˈtreɪ
portuguese,pɔː(r)tʃʊgiːz
POSE,pəʊz
POSITION,pəˈzɪʃ(ə)n
possession,pəzeʃən
POST,pəʊst
POSTING,ˈpəʊstɪŋ
POSTPONE,pəʊsˈpəʊn
pot,pɒt
POTATO,pəˈteɪtəʊ
POUND,paʊnd
pounding,@pounding
pounds,paʊndz
POUR,pɔː(r)
POWER,ˈpaʊə(r)
POWERHOUSE,ˈpaʊə(r)ˌhaʊs
PRACTICE,ˈpræktɪs
PRACTICED,ˈpræktɪst
PRAISE,preɪz
prayer,preə(r)
PREACH,priːtʃ
prearranged,priːəreɪndʒd
PRECEDE,prɪˈsiːd
PRECIPITATE,prɪˈsɪpɪteɪt
precise,prɪsaɪs
precisely,prɪsaɪsli
PREDECESSOR,ˈpriːdɪˌsesə(r)
PREDICT,prɪˈdɪkt
PREDICTION,prɪˈdɪkʃ(ə)n
PREFER,prɪˈfɜː(r)
PREJUDGE,ˌpriːˈdʒʌdʒ
PREMIUM,ˈpriːmiəm
PREPAID,ˌpriːˈpeɪd
PREPARATION,ˌprepəˈreɪʃ(ə)n
PREPARE,prɪˈpeə(r)
PREPARED,prɪˈpeə(r)d
PREPAYMENT,priːˈpeɪmənt
PRESCRIPTION,prɪˈskrɪpʃ(ə)n
PRESENT,ˈprez(ə)nt
PRESENTATION,ˌprez(ə)nˈteɪʃ(ə)n
PRESERVE,prɪˈzɜː(r)v
PRESSED,prest
PRESSING,ˈpresɪŋ
PRESSURE,ˈpreʃə(r)
PRESSURED,ˈpreʃə(r)d
pretend,prɪtend
pretty,prɪtɪ
PREVAIL,prɪˈveɪl
PREVAILING,prɪˈveɪlɪŋ
PREVENT,prɪˈvent
PREVIEW,ˈpriːvjuː
PRICE,praɪs
PRICING,ˈpraɪsɪŋ
prim,prɪm
PRIMP,prɪmp
prince,prɪns
Princess,prɪn'ses
PRINCIPAL,ˈprɪnsəp(ə)l
PRINCIPLE,ˈprɪnsəp(ə)l
PRINT,prɪnt
PRINTING,ˈprɪntɪŋ
PRIORITIZE,praɪˈɒrɪtaɪz
PRIORITY,praɪˈɒrəti
private,praɪvɪt
Privateer,@Privateer
PRIVATIZE,ˈpraɪvətaɪz
PRO,prəʊ
probably,prɒbəblɪ
PROBE,prəʊb
PROBING,ˈprəʊbɪŋ
PROBLEM,ˈprɒbləm
PROCEDURE,prəˈsiːdʒə(r)
PROCEED,prəˈsiːd
PROCEEDINGS,prəˈsiːdɪŋz
PROCEEDS,ˈprəʊˌsiːdz
PROCESS,ˈprəʊses
PROCESSOR,ˈprəʊˌsesə(r)
PROCLAIM,prəˈkleɪm
PRODUCE,prəˈdjuːs
PRODUCER,prəˈdjuːsə(r)
PRODUCT,ˈprɒdʌkt
PROFESSIONAL,prəˈfeʃ(ə)nəl
PROFESSOR,prəˈfesə(r)
PROFILE,ˈprəʊfaɪl
PROFIT,ˈprɒfɪt
PROGRAM,ˈprəʊɡræm
PROGRAMMING,ˈprəʊˌɡræmɪŋ
PROGRESS,ˈprəʊɡres
PROGRESSIVE,prəʊˈɡresɪv
PROHIBIT,prəʊˈhɪbɪt
PROJECT,ˈprɒdʒekt
PROJECTION,prəˈdʒekʃ(ə)n
PROLONGED,prəˈlɒŋd
PROMISE,ˈprɒmɪs
PROMISING,ˈprɒmɪsɪŋ
PROMOTE,prəˈməʊt
PROMOTER,prəˈməʊtə(r)
PROMPT,prɒmpt
PROMPTING,ˈprɒmptɪŋ
prone,proʊn
PRONOUNCED,prəˈnaʊnst
PROP,prɒp
PROPEL,prəˈpel
PROPERTY,ˈprɒpə(r)ti
PROPOSAL,prəˈpəʊz(ə)l
PROPOSE,prəˈpəʊz
PROPOSED,prəˈpəʊzd
PROSECUTION,ˌprɒsɪˈkjuːʃ(ə)n
PROSECUTOR,ˈprɒsɪkjuːtə(r)
PROSPECT,ˈprɒspekt
PROTECT,prəˈtekt
PROTECTED,prəˈtektɪd
PROTECTION,prəˈtekʃ(ə)n
PROTEST,ˈprəʊtest
PROTESTER,prəˈtestə(r)
PROTRACTED,prəˈtræktɪd
proud,praʊd
PROVE,pruːv
PROVEN,ˈpruːv(ə)n
PROVIDE,prəˈvaɪd
PROVIDED,prəˈvaɪdɪd
PROVIDER,prəˈvaɪdə(r)
PROVIDING,prəˈvaɪdɪŋ
PROVINCE,ˈprɒvɪns
PROVISION,prəˈvɪʒ(ə)n
provoke,prəvoʊk
PROXY,ˈprɒksi
pry,praɪ
public,pʌblɪk
PUBLICATION,ˌpʌblɪˈkeɪʃ(ə)n
PUBLISH,ˈpʌblɪʃ
PUBLISHING,ˈpʌblɪʃɪŋ
puff,pʌf
PULL,pʊl
pulled,pʊld
PULLING,pʊlɪŋ
pulse,pʌls
PULSES,ˈpʌlsɪz
PULVERIZE,ˈpʌlvəraɪz
PUMP,pʌmp
PUNCTUATE,ˈpʌŋktʃueɪt
PUNISH,ˈpʌnɪʃ
PUNISHING,ˈpʌnɪʃɪŋ
PUPPET,ˈpʌpɪt
PURCHASE,ˈpɜː(r)tʃəs
PURCHASER,ˈpɜ:(r)tʃəsə(r)
PURPORT,pə(r)ˈpɔː(r)t
PURPORTED,pə(r)ˈpɔː(r)tɪd
PURPOSE,ˈpɜː(r)pəs
PURSUE,pə(r)ˈsjuː
PUSH,pʊʃ
PUSHED,pʊʃt
PUT,pʊt
PUTTING,ˈpʌtɪŋ
putty,pʌti
PUZZLED,ˈpʌz(ə)ld
PYLON,ˈpaɪlən
pyre,@pyre
QUADRUPLE,ˈkwɒdrʊp(ə)l
QUALIFICATION,ˌkwɒlɪfɪˈkeɪʃ(ə)n
QUALIFIED,ˈkwɒlɪfaɪd
QUALITY,ˈkwɒləti
QUANTITY,ˈkwɒntəti
quarter,kwɔː(r)təʳ
QUARTERS,ˈkwɔː(r)tə(r)z
QUESTION,ˈkwestʃ(ə)n
QUESTIONING,ˈkwestʃ(ə)nɪŋ
QUICK,kwɪk
QUICKEN,ˈkwɪkən
QUICKENING,ˈkwɪk(ə)nɪŋ
QUIET,ˈkwaɪət
quietly,kwaɪətlɪ
QUIT,kwɪt
quite,kwaɪt
quiver,kwɪvə(r)
QUIZ,kwɪz
QUOTA,ˈkwəʊtə
QUOTE,kwəʊt
r,ɑː(r)
RACE,reɪs
RACEWAY,@RACEWAY
RACING,ˈreɪsɪŋ
RACK,ræk
radio,reɪdioʊ
ragged,rægɪd
RAID,reɪd
RAIL,reɪl
RAILING,ˈreɪlɪŋ
RAIN,reɪn
RAISE,reɪz
RAISED,reɪzd
raising,ˈreɪzɪŋ
RALLY,ˈræli
RAMP,ræmp
RAN,ræn
rang,ræŋ
RANGE,reɪndʒ
RANK,ræŋk
RANKING,ˈræŋkɪŋ
RANKLE,ˈræŋk(ə)l
ransom,rænsəm
Raoden,@Raoden
RATCHET,ˈrætʃɪt
RATE,reɪt
RATEPAYER,ˈreɪtˌpeɪə(r)
RATER,@RATER
rather,rɑːðə(r)
RATIFY,ˈrætɪfaɪ
RATING,ˈreɪtɪŋ
RATIO,ˈreɪʃiəʊ
RATION,ˈræʃ(ə)n
RATIONING,ˈræʃ(ə)nɪŋ
rats,ræts
RATTLE,ˈræt(ə)l
rattled,ˈrætəld
rattling,ˈrætlɪŋ
Ravkan,@Ravkan
REACH,riːtʃ
REACT,riˈækt
REACTOR,riˈæktə(r)
READ,riːd
READER,ˈriːdə(r)
READING,ˈriːdɪŋ
READY,ˈredi
REAFFIRM,ˌriːəˈfɜː(r)m
real,rɪəl
REALIGN,ˌriːəˈlaɪn
realistic,riːəlɪstɪk
reality,rɪ'ælətɪ
REALIZE,ˈrɪəlaɪz
realized,rɪəlaɪzd
really,rɪəlɪ
realm,relm
REAP,riːp
rear,rɪə(r)
REASON,ˈriːz(ə)n
reasonable,riːzənəbəl
REASONING,ˈriːz(ə)nɪŋ
REASSESS,@REASSESS
REASSIGN,@REASSIGN
reassure,riːəʃʊə(r)
REASSURING,ˌriːəˈʃʊərɪŋ
rebel,rebəl
REBOUND,rɪˈbaʊnd
REBUFF,rɪˈbʌf
RECALL,rɪˈkɔːl
RECEDE,rɪˈsiːd
RECEIPT,rɪˈsiːt
RECEIVE,rɪˈsiːv
RECEIVED,rɪˈsiːvd
recently,riːsəntli
reception,rɪsepʃən
reckless,rekləs
RECKON,ˈrekən
RECLAIM,rɪˈkleɪm
RECOGNIZE,ˈrekəɡnaɪz
recoil,rɪkɔɪl
RECOMMEND,ˌrekəˈmend
RECOMMENDATION,ˌrekəmenˈdeɪʃ(ə)n
RECORD,ˈrekɔː(r)d
RECORDING,rɪˈkɔː(r)dɪŋ
RECOUP,rɪˈkuːp
RECOVER,rɪˈkʌvə(r)
RECRUIT,rɪˈkruːt
RED,red
REDEMPTION,rɪˈdempʃ(ə)n
REDEVELOP,ˌriːdɪˈveləp
REDUCE,rɪˈdjuːs
reduced,rɪˈdjuːst
REDUCTION,rɪˈdʌkʃ(ə)n
REEF,riːf
REEL,riːl
REEMERGE,reɪ'mɜ:dʒ
REFER,rɪˈfɜː(r)
REFERENCE,ˈref(ə)rəns
REFERRAL,rɪˈfɜːrəl
REFINANCE,ˌriːfaɪˈnæns
REFINE,rɪˈfaɪn
REFINER,@REFINER
REFINERY,rɪˈfaɪnəri
REFLECT,rɪˈflekt
REFORM,rɪˈfɔː(r)m
REFORMER,rɪˈfɔː(r)mə(r)
REFRAIN,rɪˈfreɪn
REFUND,ˈriːfʌnd
REFURBISH,riːˈfɜː(r)bɪʃ
REFUSE,rɪˈfjuːz
REFUTE,rɪˈfjuːt
REGAIN,rɪˈɡeɪn
Regals,@Regals
REGARD,rɪˈɡɑː(r)d
REGARDING,rɪˈɡɑː(r)dɪŋ
REGIME,reɪˈʒiːm
REGION,ˈriːdʒ(ə)n
REGISTER,ˈredʒɪstə(r)
REGRESSION,rɪˈɡreʃ(ə)n
regret,rɪgret
regular,regjʊlə(r)
REGULATE,ˈreɡjʊleɪt
REGULATION,ˌreɡjʊˈleɪʃ(ə)n
REGULATOR,ˈreɡjʊˌleɪtə(r)
REINFORCE,ˌriːɪnˈfɔː(r)s
REINTRODUCE,ˌriːɪntrəˈdjuːs
REINVEST,ˌriːɪnˈvest
reit,rit
REITERATE,riːˈɪtəreɪt
REJECT,rɪˈdʒekt
rejoicing,rɪˈdʒɔɪsɪŋ
rejoin,riːdʒɔɪn
REKINDLE,ˌriːˈkɪnd(ə)l
RELATE,rɪˈleɪt
RELATED,rɪˈleɪtɪd
RELATION,rɪˈleɪʃ(ə)n
RELATIONSHIP,rɪˈleɪʃ(ə)nʃɪp
RELATIVE,ˈrelətɪv
RELAXED,rɪˈlækst
RELEASE,rɪˈliːs
RELEGATE,ˈreləɡeɪt
relief,rɪliːf
RELIEVE,rɪˈliːv
RELIEVED,rɪˈliːvd
RELIGIOUS,rəˈlɪdʒəs
RELINQUISH,rəˈlɪŋkwɪʃ
RELY,rɪˈlaɪ
REMAIN,rɪˈmeɪn
remained,rɪ'meɪnd
REMAINING,rɪˈmeɪnɪŋ
REMAINS,rɪˈmeɪnz
REMARK,rɪˈmɑː(r)k
REMEDY,ˈremədi
remember,rɪ'membə
REMIND,rɪˈmaɪnd
REMITTANCE,rɪˈmɪt(ə)ns
remotely,rɪmoʊtli
REMOVE,rɪˈmuːv
REMOVED,rɪˈmuːvd
RENAME,riːˈneɪm
RENDER,ˈrendə(r)
RENEWABLES,rɪˈnjuːəb(ə)lz
RENEWED,rɪˈnjuːd
RENOVATE,ˈrenəveɪt
RENT,rent
RENTAL,ˈrent(ə)l
RENTS,rents
REOPEN,riːˈəʊpən
REORGANIZE,riˈɔː(r)ɡənaɪz
REPAID,rɪˈpeɪd
REPAIR,rɪˈpeə(r)
REPAY,rɪˈpeɪ
REPAYMENT,rɪˈpeɪmənt
REPEAT,rɪˈpiːt
REPEATED,rɪˈpiːtɪd
repent,rɪpent
REPERCUSSION,ˌriːpə(r)ˈkʌʃ(ə)n
repetition,repɪtɪʃən
REPLACE,rɪˈpleɪs
REPLACEMENT,rɪˈpleɪsmənt
REPLENISH,rɪˈplenɪʃ
REPLICATE,ˈreplɪkeɪt
replied,rɪ'plaɪd
reply,rɪplaɪ
REPORT,rɪˈpɔː(r)t
REPORTER,rɪˈpɔː(r)tə(r)
REPORTING,rɪˈpɔː(r)tɪŋ
REPOSITION,ˌri:pə'zɪʃən
REPRESENT,ˌreprɪˈzent
REPRESENTATIVE,ˌreprɪˈzentətɪv
REPRIMAND,ˈreprɪˌmɑːnd
reproduction,riːprədʌkʃən
REPUBLIC,rɪˈpʌblɪk
REPUBLICAN,rɪˈpʌblɪkən
REPURCHASE,ˌri:'pɜ:tʃəs
reputation,repjʊteɪʃən
REQUEST,rɪˈkwest
REQUIRE,rɪˈkwaɪə(r)
REQUIREMENT,rɪˈkwaɪə(r)mənt
RERUN,ˈriːˌrʌn
RESCUE,ˈreskjuː
RESEARCHER,rɪˈsɜː(r)tʃə(r)
RESERVATION,ˌrezə(r)ˈveɪʃ(ə)n
RESERVE,rɪˈzɜː(r)v
RESERVED,rɪˈzɜː(r)vd
RESERVOIR,ˈrezə(r)ˌvwɑː(r)
RESET,ˌriːˈset
RESHAPE,ˌriːˈʃeɪp
RESHUFFLE,ˌriːˈʃʌf(ə)l
RESIDE,rɪˈzaɪd
RESIDENT,ˈrezɪd(ə)nt
RESIGN,rɪˈzaɪn
RESIGNED,rɪˈzaɪnd
RESIST,rɪˈzɪst
RESOLD,ˌriːˈsəʊld
RESOLUTION,ˌrezəˈluːʃ(ə)n
RESOLVE,rɪˈzɒlv
RESOLVED,rɪˈzɒlvd
resonant,rezənənt
RESOURCE,rɪˈzɔː(r)s
respectable,rɪspektəbəl
respects,rɪˈspɛkts
RESPOND,rɪˈspɒnd
responded,rɪ'spɒndɪd
RESPONDENT,rɪˈspɒndənt
RESPONSE,rɪˈspɒns
RESPONSIBILITY,rɪˌspɒnsəˈbɪləti
REST,rest
RESTART,ˌriːˈstɑː(r)t
resting,ˈrɛstɪŋ
RESTORED,rɪˈstɔː(r)d
RESTRAINT,rɪˈstreɪnt
RESTRICT,rɪˈstrɪkt
RESTRICTED,rɪˈstrɪktɪd
RESTRICTION,rɪˈstrɪkʃ(ə)n
RESTRUCTURE,ˌriːˈstrʌktʃə(r)
RESTRUCTURING,ˌri:'strʌktʃərɪŋ
RESULT,rɪˈzʌlt
RESUME,rɪˈzjuːm
RETAILER,ˈriːˌteɪlə(r)
RETAILING,ˈriːˌteɪlɪŋ
RETAIN,rɪˈteɪn
retarded,rɪtɑː(r)dɪd
RETIRE,rɪˈtaɪə(r)
RETIRED,rɪˈtaɪə(r)d
RETIREE,rɪˌtaɪəˈriː
RETRACE,rɪˈtreɪs
RETREAT,rɪˈtriːt
RETRENCH,rɪˈtrentʃ
RETURN,rɪˈtɜː(r)n
REVALUE,ˌriːˈvæljuː
REVAMP,ˌriːˈvæmp
REVEAL,rɪˈviːl
REVEALING,rɪˈviːlɪŋ
REVELATION,ˌrevəˈleɪʃ(ə)n
